,is_not_hispanic,derived_race,is_male,action_taken,preapproval_requested,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt
6355,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,295000.0,97.0,2,2,46.0,36%-<50%,25-34,6.599912842187128,0.38,17.48
6356,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,505000.0,75.0,2,2,149.0,36%-<50%,35-44,6.22881869049588,0.38,56.62
6357,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Purchase,245000.0,101.25,2,2,47.0,36%-<50%,35-44,6.661778097771987,0.38,17.86
6358,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Other Purpose,1165000.0,75.0,2,2,-6.0,<20%,45-54,6.22881869049588,0.15,-0.8999999999999999
6359,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Other Purpose,755000.0,32.609,2,2,185.0,36%-<50%,55-64,5.027198294417109,0.38,70.3
6360,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,1205000.0,42.105,1,2,165.0,>60%,55-64,5.395919659458956,0.65,107.25
6361,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,5705000.0,71.834,1,2,2329.0,30%-<36%,65-74,6.166594947586933,0.33,768.57
6362,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,70.0,2,2,585.0,30%-<36%,55-64,6.129283016944966,0.33,193.05
6363,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Refinancing,1875000.0,50.0,2,2,2144.0,30%-<36%,55-64,5.643856189774724,0.33,707.52
6364,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,1005000.0,50.0,1,2,1093.0,50%-60%,65-74,5.643856189774724,0.55,601.1500000000001
6365,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,605000.0,49.587,1,2,543.0,36%-<50%,25-34,5.631890040221726,0.38,206.34
6366,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,885000.0,66.742,2,2,450.0,<20%,45-54,6.060523014054423,0.15,67.5
6367,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,605000.0,95.039,2,2,300.0,20%-<30%,25-34,6.570447751074117,0.25,75.0
6368,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,1005000.0,74.349,1,2,115.0,>60%,35-44,6.2162414329317945,0.65,74.75
6369,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,545000.0,57.098,2,2,164.0,30%-<36%,45-54,5.835368307364882,0.33,54.120000000000005
6370,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,485000.0,47.363,2,2,1381.0,<20%,45-54,5.5656885598924015,0.15,207.15
6371,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,485000.0,52.263,2,2,434.0,<20%,55-64,5.707718035482914,0.15,65.1
6372,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,1735000.0,80.0,2,2,280.0,36%-<50%,45-54,6.321928094887363,0.38,106.4
6373,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Other Purpose,585000.0,100.0,1,2,1082.0,<20%,35-44,6.643856189774724,0.15,162.29999999999998
6374,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,1115000.0,39.263,1,2,165.0,>60%,55-64,5.295098505077302,0.65,107.25
6375,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,1365000.0,80.0,2,2,2537.0,30%-<36%,35-44,6.321928094887363,0.33,837.21
6376,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,1125000.0,63.672,1,2,1020.0,<20%,55-64,5.992587176287765,0.15,153.0
6377,Not Hispanic or Latino,White,Female,1,Preapproval Requested,Converntional,Home Purchase,525000.0,80.0,2,2,134.0,20%-<30%,25-34,6.321928094887363,0.25,33.5
6378,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Other Purpose,1165000.0,75.0,2,2,202.0,50%-60%,45-54,6.22881869049588,0.55,111.10000000000001
6379,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,605000.0,35.503,2,2,101.0,36%-<50%,35-44,5.1498690322442915,0.38,38.38
6380,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,4405000.0,89.796,1,2,990.0,36%-<50%,55-64,6.488579275837164,0.38,376.2
6381,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,VA-guaranteed,Refinancing,515000.0,63.0,2,2,105.0,36%-<50%,65-74,5.977279923499917,0.38,39.9
6382,Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Purchase,375000.0,65.0,2,2,144.0,36%-<50%,35-44,6.022367813028454,0.38,54.72
6383,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,VA-guaranteed,Home Purchase,375000.0,100.0,2,2,89.0,36%-<50%,35-44,6.643856189774724,0.38,33.82
6384,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,475000.0,100.0,2,2,105.0,36%-<50%,25-34,6.643856189774724,0.38,39.9
6385,Not Hispanic or Latino,Minority Races,Female,1,No Preapproval Requested,FHA-insured,Home Purchase,255000.0,97.0,2,2,80.0,20%-<30%,35-44,6.599912842187128,0.25,20.0
6386,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,485000.0,78.0,2,2,147.0,30%-<36%,35-44,6.285402218862249,0.33,48.510000000000005
6387,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Refinancing,245000.0,64.0,2,2,94.0,20%-<30%,35-44,6.0,0.25,23.5
6388,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Refinancing,485000.0,56.0,2,2,101.0,>60%,45-54,5.807354922057604,0.65,65.65
6389,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,705000.0,68.0,2,2,200.0,20%-<30%,55-64,6.087462841250339,0.25,50.0
6390,Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,295000.0,75.0,2,2,55.0,36%-<50%,35-44,6.22881869049588,0.38,20.9
6391,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,VA-guaranteed,Refinancing,465000.0,76.548,2,2,106.0,30%-<36%,25-34,6.258292779238483,0.33,34.980000000000004
6392,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,415000.0,93.0,2,2,93.0,30%-<36%,25-34,6.539158811108031,0.33,30.69
6393,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Refinancing,375000.0,71.154,2,2,170.0,<20%,25-34,6.152872956599839,0.15,25.5
6394,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,415000.0,91.538,2,2,98.0,20%-<30%,25-34,6.516298865943233,0.25,24.5
6395,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,205000.0,64.516,2,2,66.0,36%-<50%,45-54,6.011585088882245,0.38,25.080000000000002
6396,Not Hispanic or Latino,White,Male,1,Preapproval Requested,Converntional,Home Purchase,645000.0,90.0,2,2,140.0,36%-<50%,25-34,6.491853096329675,0.38,53.2
6397,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,315000.0,97.0,2,2,92.0,30%-<36%,25-34,6.599912842187128,0.33,30.360000000000003
6398,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,685000.0,88.271,2,2,136.0,36%-<50%,45-54,6.463867636633632,0.38,51.68
6399,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,605000.0,74.601,2,2,160.0,36%-<50%,35-44,6.221123064313873,0.38,60.8
6400,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,695000.0,70.0,2,2,1081.0,20%-<30%,35-44,6.129283016944966,0.25,270.25
6401,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,575000.0,45.599,2,2,471.0,<20%,55-64,5.510930280881324,0.15,70.64999999999999
6402,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1225000.0,80.0,2,2,441.0,30%-<36%,55-64,6.321928094887363,0.33,145.53
6403,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,525000.0,58.667,2,2,108.0,30%-<36%,35-44,5.874477315023768,0.33,35.64
6404,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,87.625,2,2,91.0,36%-<50%,25-34,6.453270634010623,0.38,34.58
6405,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,365000.0,90.818,2,2,160.0,30%-<36%,35-44,6.5049063608738695,0.33,52.800000000000004
6406,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,90.0,2,2,198.0,20%-<30%,25-34,6.491853096329675,0.25,49.5
6407,Not Hispanic or Latino,Minority Races,Female,1,No Preapproval Requested,Converntional,Refinancing,255000.0,65.54,2,2,152.0,20%-<30%,35-44,6.034303767768035,0.25,38.0
6408,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,705000.0,85.0,2,2,280.0,<20%,25-34,6.409390936137702,0.15,42.0
6409,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,245000.0,59.668,2,2,116.0,20%-<30%,35-44,5.898885515178221,0.25,29.0
6410,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,525000.0,60.0,2,2,105.0,36%-<50%,35-44,5.906890595608519,0.38,39.9
6411,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,495000.0,80.0,2,2,109.0,30%-<36%,25-34,6.321928094887363,0.33,35.97
6412,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,82.692,2,2,87.0,36%-<50%,<25,6.369675858158149,0.38,33.06
6413,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,FHA-insured,Home Purchase,715000.0,92.5,2,2,187.0,36%-<50%,25-34,6.531381460516312,0.38,71.06
6414,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,505000.0,65.613,2,2,121.0,30%-<36%,35-44,6.035909781337847,0.33,39.93
6415,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,405000.0,85.0,2,2,74.0,36%-<50%,25-34,6.409390936137702,0.38,28.12
6416,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Refinancing,415000.0,60.294,2,2,165.0,20%-<30%,35-44,5.913942538125009,0.25,41.25
6417,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,1175000.0,75.321,2,2,288.0,36%-<50%,45-54,6.234980248921604,0.38,109.44
6418,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,FHA-insured,Home Purchase,275000.0,96.5,2,2,184.0,20%-<30%,35-44,6.592457037268081,0.25,46.0
6419,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,155000.0,34.483,2,2,68.0,30%-<36%,65-74,5.107813388364455,0.33,22.44
6420,Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,90.0,2,2,94.0,20%-<30%,35-44,6.491853096329675,0.25,23.5
6421,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,325000.0,33.058,2,2,153.0,20%-<30%,35-44,5.04692753950057,0.25,38.25
6422,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,70.0,2,2,80.0,36%-<50%,35-44,6.129283016944966,0.38,30.4
6423,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,425000.0,82.491,2,2,111.0,30%-<36%,25-34,6.3661648207470085,0.33,36.63
6424,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,955000.0,62.98,2,2,438.0,<20%,45-54,5.976821852360685,0.15,65.7
6425,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,305000.0,84.165,2,2,105.0,30%-<36%,35-44,6.395148508416512,0.33,34.65
6426,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,355000.0,95.0,2,2,110.0,20%-<30%,25-34,6.569855608330948,0.25,27.5
6427,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,1065000.0,90.711,2,2,270.0,36%-<50%,35-44,6.5032056035595796,0.38,102.6
6428,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,455000.0,74.309,2,2,133.0,20%-<30%,25-34,6.215465049514443,0.25,33.25
6429,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,425000.0,80.0,2,2,125.0,20%-<30%,25-34,6.321928094887363,0.25,31.25
6430,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,265000.0,75.0,2,2,75.0,30%-<36%,25-34,6.22881869049588,0.33,24.75
6431,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Refinancing,405000.0,83.925,2,2,65.0,36%-<50%,25-34,6.3910287268101875,0.38,24.7
6432,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,425000.0,90.0,2,2,295.0,<20%,25-34,6.491853096329675,0.15,44.25
6433,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,295000.0,60.0,2,2,76.0,36%-<50%,35-44,5.906890595608519,0.38,28.88
6434,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,VA-guaranteed,Home Purchase,1015000.0,91.587,2,2,205.0,50%-60%,35-44,6.517070929382857,0.55,112.75000000000001
6435,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,75.0,2,2,233.0,36%-<50%,35-44,6.22881869049588,0.38,88.54
6436,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,715000.0,80.0,2,2,190.0,20%-<30%,25-34,6.321928094887363,0.25,47.5
6437,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,435000.0,97.0,2,2,108.0,30%-<36%,25-34,6.599912842187128,0.33,35.64
6438,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,475000.0,59.25,2,2,80.0,36%-<50%,65-74,5.888743248898259,0.38,30.4
6439,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,105000.0,15.152,2,2,43.0,36%-<50%,55-64,3.921436330806298,0.38,16.34
6440,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,375000.0,97.0,2,2,96.0,36%-<50%,25-34,6.599912842187128,0.38,36.480000000000004
6441,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,305000.0,46.292,2,2,167.0,20%-<30%,55-64,5.532690989073672,0.25,41.75
6442,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,485000.0,64.58,2,2,173.0,20%-<30%,55-64,6.013015535839256,0.25,43.25
6443,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,185000.0,90.0,2,2,47.0,36%-<50%,<25,6.491853096329675,0.38,17.86
6444,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,555000.0,95.0,2,2,100.0,36%-<50%,25-34,6.569855608330948,0.38,38.0
6445,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,51.751,2,2,167.0,20%-<30%,55-64,5.693514835395016,0.25,41.75
6446,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,605000.0,80.0,2,2,120.0,30%-<36%,35-44,6.321928094887363,0.33,39.6
6447,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,535000.0,84.998,2,2,116.0,30%-<36%,35-44,6.4093569899726655,0.33,38.28
6448,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,79.78,2,2,201.0,20%-<30%,25-34,6.317955218312439,0.25,50.25
6449,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,485000.0,50.717,2,2,150.0,20%-<30%,45-54,5.664397504932366,0.25,37.5
6450,Not Hispanic or Latino,Asian,Female,1,No Preapproval Requested,Converntional,Home Purchase,475000.0,90.0,2,2,108.0,36%-<50%,25-34,6.491853096329675,0.38,41.04
6451,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,645000.0,95.0,2,2,199.0,36%-<50%,35-44,6.569855608330948,0.38,75.62
6452,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,725000.0,63.217,2,2,160.0,30%-<36%,35-44,5.982240667810619,0.33,52.800000000000004
6453,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,435000.0,88.163,2,2,142.0,30%-<36%,35-44,6.46210141148568,0.33,46.86
6454,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,365000.0,97.0,2,2,152.0,20%-<30%,35-44,6.599912842187128,0.25,38.0
6455,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,655000.0,95.0,2,2,112.0,36%-<50%,25-34,6.569855608330948,0.38,42.56
6456,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,235000.0,85.0,2,2,94.0,30%-<36%,35-44,6.409390936137702,0.33,31.020000000000003
6457,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,675000.0,79.631,2,2,200.0,30%-<36%,25-34,6.315258269874844,0.33,66.0
6458,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,335000.0,80.0,2,2,83.0,30%-<36%,25-34,6.321928094887363,0.33,27.39
6459,Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Improvement,205000.0,75.04,2,2,340.0,20%-<30%,45-54,6.229587922740652,0.25,85.0
6460,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,485000.0,44.641,2,2,140.0,20%-<30%,45-54,5.480297440129775,0.25,35.0
6461,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Other Purpose,285000.0,78.87,2,2,99.0,36%-<50%,25-34,6.301404737564478,0.38,37.62
6462,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,465000.0,79.15,2,2,157.0,20%-<30%,45-54,6.306517445249819,0.25,39.25
6463,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,885000.0,76.8,2,2,389.0,36%-<50%,35-44,6.2630344058337934,0.38,147.82
6464,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Home Purchase,495000.0,80.0,2,2,184.0,36%-<50%,45-54,6.321928094887363,0.38,69.92
6465,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,465000.0,80.0,2,2,126.0,30%-<36%,25-34,6.321928094887363,0.33,41.580000000000005
6466,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,755000.0,87.0,2,2,137.0,36%-<50%,45-54,6.442943495848728,0.38,52.06
6467,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Other Purpose,305000.0,66.67,2,2,62.0,36%-<50%,65-74,6.058965822002304,0.38,23.56
6468,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,415000.0,58.57,2,2,118.0,20%-<30%,25-34,5.872089989334793,0.25,29.5
6469,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,965000.0,67.12,2,2,372.0,30%-<36%,35-44,6.068670810665099,0.33,122.76
6470,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,725000.0,74.08,2,2,173.0,30%-<36%,55-64,6.211012193485511,0.33,57.09
6471,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,525000.0,88.67,2,2,111.0,36%-<50%,25-34,6.470374170416245,0.38,42.18
6472,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Home Purchase,1235000.0,90.0,2,2,250.0,36%-<50%,35-44,6.491853096329675,0.38,95.0
6473,Not Hispanic or Latino,Minority Races,Male,1,No Preapproval Requested,Converntional,Refinancing,725000.0,95.0,2,2,210.0,36%-<50%,35-44,6.569855608330948,0.38,79.8
6474,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,935000.0,72.0,2,2,173.0,36%-<50%,45-54,6.169925001442312,0.38,65.74
6475,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,755000.0,69.91,2,2,208.0,20%-<30%,45-54,6.12742692986628,0.25,52.0
6476,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,585000.0,66.14,2,2,200.0,36%-<50%,45-54,6.04745114041639,0.38,76.0
6477,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,475000.0,95.0,2,2,219.0,36%-<50%,35-44,6.569855608330948,0.38,83.22
6478,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,365000.0,80.0,2,2,158.0,30%-<36%,45-54,6.321928094887363,0.33,52.14
6479,Not Hispanic or Latino,Asian,Male,1,No Preapproval Requested,Converntional,Home Purchase,505000.0,75.0,2,2,169.0,20%-<30%,25-34,6.22881869049588,0.25,42.25
6480,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Home Purchase,1095000.0,95.0,2,2,275.0,36%-<50%,35-44,6.569855608330948,0.38,104.5
6481,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Purchase,215000.0,80.0,2,2,59.0,36%-<50%,<25,6.321928094887363,0.38,22.42
6482,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Home Improvement,25000.0,47.8,2,2,62.0,36%-<50%,65-74,5.578938713093386,0.38,23.56
6483,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,35000.0,100.69,2,2,65.0,50%-60%,45-54,6.653776599367789,0.55,35.75
6484,Not Hispanic or Latino,White,Female,1,No Preapproval Requested,Converntional,Refinancing,115000.0,89.37,2,2,134.0,20%-<30%,35-44,6.481718719195961,0.25,33.5
6485,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Refinancing,105000.0,23.41,2,2,154.0,20%-<30%,55-64,4.549053029337288,0.25,38.5
6486,Not Hispanic or Latino,Black or African American,Male,1,No Preapproval Requested,Converntional,Other Purpose,25000.0,38.46,2,2,42.0,36%-<50%,45-54,5.265286857565172,0.38,15.96
6487,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,55000.0,57.37,2,2,109.0,50%-60%,55-64,5.842224612877244,0.55,59.95
6488,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Other Purpose,135000.0,64.13,2,2,125.0,>60%,35-44,6.002927502063069,0.65,81.25
6489,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Home Improvement,35000.0,36.16,2,2,53.0,>60%,>74,5.176322772640463,0.65,34.45
6490,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,255000.0,86.58,2,2,447.0,20%-<30%,55-64,6.43596189543763,0.25,111.75
6491,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Other Purpose,135000.0,64.13,2,2,125.0,36%-<50%,35-44,6.002927502063069,0.38,47.5
6492,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,505000.0,90.63,2,2,375.0,>60%,45-54,6.501916779674373,0.65,243.75
6493,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Other Purpose,115000.0,66.48,2,2,134.0,50%-60%,35-44,6.05484847699562,0.55,73.7
6494,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,155000.0,45.79,2,2,150.0,36%-<50%,55-64,5.516960659898823,0.38,57.0
6495,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,55000.0,80.46,2,2,114.0,36%-<50%,55-64,6.330199832850905,0.38,43.32
6496,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,55000.0,75.38,2,2,98.0,36%-<50%,35-44,6.236109889889632,0.38,37.24
6497,Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,45000.0,80.0,2,2,98.0,30%-<36%,35-44,6.321928094887363,0.33,32.34
6498,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,115000.0,53.75,2,2,76.0,>60%,35-44,5.7481928495894605,0.65,49.4
6499,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Other Purpose,35000.0,80.09,2,2,183.0,20%-<30%,35-44,6.323550214537046,0.25,45.75
6500,Not Hispanic or Latino,White,Female,0,No Preapproval Requested,Converntional,Other Purpose,65000.0,50.42,2,2,48.0,50%-60%,65-74,5.655924213083815,0.55,26.400000000000002
6501,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,285000.0,76.57,2,2,194.0,30%-<36%,35-44,6.258707352196828,0.33,64.02
6502,Not Hispanic or Latino,White,Male,0,No Preapproval Requested,Converntional,Refinancing,185000.0,92.87,2,2,119.0,50%-60%,25-34,6.537140729804997,0.55,65.45
6503,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Refinancing,55000.0,15.44,2,2,26.0,20%-<30%,>74,3.948600847493356,0.25,6.5
6504,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Other Purpose,55000.0,71.72,2,2,90.0,36%-<50%,65-74,6.16430358309365,0.38,34.2
6505,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Other Purpose,25000.0,100.38,2,2,82.0,20%-<30%,55-64,6.649328040984784,0.25,20.5
6506,Not Hispanic or Latino,Black or African American,Male,0,No Preapproval Requested,Converntional,Other Purpose,15000.0,37.5,2,2,21.0,>60%,65-74,5.22881869049588,0.65,13.65
6507,Not Hispanic or Latino,Black or African American,Female,1,No Preapproval Requested,Converntional,Refinancing,55000.0,24.39,2,2,102.0,30%-<36%,35-44,4.6082178530214595,0.33,33.660000000000004
6508,Not Hispanic or Latino,Black or African American,Female,0,No Preapproval Requested,Converntional,Home Improvement,85000.0,48.37,2,2,41.0,50%-60%,65-74,5.596040632671138,0.55,22.55
6509,Not Hispanic or Latino,White,Male,1,No Preapproval Requested,Converntional,Refinancing,25000.0,17.98,2,2,92.0,30%-<36%,55-64,4.168321115739722,0.33,30.360000000000003
