,derived_ethnicity,derived_race,derived_sex,action_taken,preapproval,loan_type,loan_purpose,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,debt_to_income_ratio,applicant_age
8483,Hispanic or Latino,White,Male,1,1,1,1,235000.0,31.8,2,2,120.0,20%-<30%,35-44
8484,Not Hispanic or Latino,White,Male,1,2,1,31,395000.0,71.818,2,2,152.0,40,55-64
8485,Not Hispanic or Latino,Black or African American,Female,3,2,1,4,155000.0,17.647,2,2,96.0,46,55-64
8486,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,375000.0,77.8,2,2,208.0,20%-<30%,45-54
8487,Not Hispanic or Latino,White,Female,1,2,1,32,215000.0,50.0,2,2,115.0,20%-<30%,55-64
8488,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,85000.0,24.286,2,2,30.0,20%-<30%,>74
8489,Hispanic or Latino,Black or African American,Female,1,2,1,31,325000.0,46.857,2,2,61.0,37,55-64
8490,Ethnicity Not Available,Black or African American,Female,1,2,1,32,125000.0,26.889,2,2,53.0,20%-<30%,55-64
8491,Not Hispanic or Latino,White,Female,1,2,1,2,55000.0,79.992,2,2,140.0,50%-60%,55-64
8492,Ethnicity Not Available,Race Not Available,Male,1,2,1,4,545000.0,36.367,2,2,150.0,46,45-54
8493,Ethnicity Not Available,Race Not Available,Male,1,2,1,4,845000.0,45.568,1,2,150.0,46,45-54
8494,Not Hispanic or Latino,Asian,Female,1,2,1,1,665000.0,39.759,2,2,1049.0,<20%,45-54
8495,Not Hispanic or Latino,Race Not Available,Female,1,2,1,32,265000.0,32.317,2,2,87.0,20%-<30%,35-44
8496,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,155000.0,30.0,2,2,49.0,46,>74
8497,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,355000.0,84.87,2,2,105.0,44,35-44
8498,Not Hispanic or Latino,Race Not Available,Male,1,2,1,1,615000.0,95.0,2,2,110.0,44,55-64
8499,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,285000.0,31.508,2,2,44.0,43,35-44
8500,Not Hispanic or Latino,White,Male,1,2,1,1,325000.0,97.0,2,2,184.0,44,35-44
8501,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,725000.0,95.0,2,2,347.0,39,35-44
8502,Not Hispanic or Latino,White,Male,1,2,1,1,395000.0,85.0,2,2,116.0,30%-<36%,25-34
8503,Not Hispanic or Latino,White,Male,1,2,1,1,455000.0,80.0,2,2,167.0,20%-<30%,35-44
8504,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,535000.0,76.571,2,2,128.0,30%-<36%,35-44
8505,Not Hispanic or Latino,White,Male,1,2,1,1,265000.0,90.0,2,2,96.0,44,55-64
8506,Not Hispanic or Latino,White,Male,1,2,1,31,335000.0,68.496,2,2,80.0,39,45-54
8507,Not Hispanic or Latino,White,Female,1,2,1,31,465000.0,70.0,2,2,143.0,39,25-34
8508,Hispanic or Latino,White,Male,1,2,2,1,295000.0,96.5,2,2,152.0,30%-<36%,25-34
8509,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,535000.0,95.0,2,2,121.0,43,45-54
8510,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,205000.0,75.0,2,2,78.0,20%-<30%,45-54
8511,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,285000.0,74.103,2,2,142.0,20%-<30%,35-44
8512,Not Hispanic or Latino,White,Female,1,2,1,31,725000.0,75.0,2,2,180.0,20%-<30%,45-54
8513,Not Hispanic or Latino,Race Not Available,Male,1,2,1,1,365000.0,95.0,2,2,125.0,30%-<36%,25-34
8514,Not Hispanic or Latino,White,Female,1,2,1,31,435000.0,77.5,2,2,107.0,30%-<36%,35-44
8515,Not Hispanic or Latino,White,Female,1,2,1,31,405000.0,42.632,2,2,144.0,20%-<30%,55-64
8516,Not Hispanic or Latino,White,Female,1,2,2,1,725000.0,96.5,2,2,220.0,36,25-34
8517,Not Hispanic or Latino,White,Male,1,2,1,1,445000.0,97.0,2,2,201.0,20%-<30%,25-34
8518,Not Hispanic or Latino,White,Female,1,2,1,32,385000.0,51.6,2,2,160.0,<20%,55-64
8519,Not Hispanic or Latino,White,Male,1,2,1,31,635000.0,76.024,2,2,234.0,30%-<36%,25-34
8520,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,175000.0,75.0,2,2,44.0,44,55-64
8521,Not Hispanic or Latino,White,Male,1,2,1,31,375000.0,37.5,2,2,75.0,47,65-74
8522,Not Hispanic or Latino,White,Female,1,2,1,1,345000.0,94.247,2,2,86.0,44,35-44
8523,Not Hispanic or Latino,Joint,Male,1,2,1,1,485000.0,74.515,2,2,220.0,37,25-34
8524,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,595000.0,61.458,2,2,137.0,40,55-64
8525,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,315000.0,75.0,2,2,108.0,30%-<36%,35-44
8526,Not Hispanic or Latino,White,Male,1,2,1,1,555000.0,75.0,2,2,198.0,20%-<30%,35-44
8527,Not Hispanic or Latino,White,Male,1,2,1,32,325000.0,59.091,2,2,108.0,30%-<36%,45-54
8528,Ethnicity Not Available,Race Not Available,Female,1,2,1,1,555000.0,90.0,2,2,116.0,45,35-44
8529,Ethnicity Not Available,Race Not Available,Female,1,2,1,1,535000.0,95.0,2,2,126.0,43,35-44
8530,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,685000.0,90.612,2,2,325.0,<20%,35-44
8531,Not Hispanic or Latino,Asian,Male,1,2,1,1,725000.0,80.0,2,2,727.0,30%-<36%,35-44
8532,Not Hispanic or Latino,White,Female,1,2,1,31,475000.0,85.0,2,2,99.0,30%-<36%,25-34
8533,Not Hispanic or Latino,White,Male,1,2,1,31,265000.0,84.355,2,2,68.0,39,25-34
8534,Ethnicity Not Available,Race Not Available,Female,1,2,1,32,535000.0,59.444,2,2,123.0,49,35-44
8535,Not Hispanic or Latino,White,Female,1,2,1,32,715000.0,48.966,2,2,157.0,44,45-54
8536,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,375000.0,90.0,2,2,110.0,30%-<36%,25-34
8537,Not Hispanic or Latino,White,Male,1,2,1,1,375000.0,94.819,2,2,85.0,40,25-34
8538,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,335000.0,94.999,2,2,106.0,41,25-34
8539,Not Hispanic or Latino,White,Female,3,2,1,31,325000.0,71.222,2,2,91.0,49,55-64
8540,Not Hispanic or Latino,White,Female,1,2,1,31,355000.0,47.667,2,2,90.0,38,55-64
8541,Not Hispanic or Latino,White,Male,1,2,1,31,345000.0,77.728,2,2,149.0,<20%,25-34
8542,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,255000.0,80.0,2,2,203.0,20%-<30%,45-54
8543,Not Hispanic or Latino,2 or more minority races,Female,1,2,1,31,455000.0,79.304,2,2,109.0,30%-<36%,25-34
8544,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,265000.0,95.0,2,2,91.0,40,45-54
8545,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,275000.0,82.648,2,2,70.0,30%-<36%,25-34
8546,Not Hispanic or Latino,White,Male,1,2,1,32,585000.0,67.836,2,2,176.0,36,45-54
8547,Not Hispanic or Latino,White,Female,1,2,1,1,285000.0,80.0,2,2,82.0,20%-<30%,35-44
8548,Not Hispanic or Latino,White,Male,1,2,1,1,485000.0,97.0,2,2,112.0,20%-<30%,25-34
8549,Not Hispanic or Latino,White,Male,1,2,1,32,355000.0,35.0,2,2,93.0,45,55-64
8550,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,655000.0,80.0,2,2,148.0,30%-<36%,45-54
8551,Not Hispanic or Latino,White,Male,1,2,1,31,395000.0,67.712,2,2,166.0,<20%,45-54
8552,Not Hispanic or Latino,White,Male,1,2,1,32,155000.0,42.857,2,2,108.0,20%-<30%,55-64
8553,Not Hispanic or Latino,White,Male,1,2,1,31,295000.0,68.235,2,2,160.0,20%-<30%,55-64
8554,Not Hispanic or Latino,Race Not Available,Female,1,2,1,1,465000.0,80.0,2,2,119.0,30%-<36%,25-34
8555,Ethnicity Not Available,White,Female,1,2,1,31,455000.0,78.291,2,2,168.0,20%-<30%,35-44
8556,Not Hispanic or Latino,White,Female,1,2,1,1,505000.0,90.783,2,2,95.0,39,35-44
8557,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,335000.0,98.187,2,2,71.0,44,25-34
8558,Not Hispanic or Latino,Joint,Male,1,2,1,1,725000.0,63.176,2,2,632.0,39,45-54
8559,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,645000.0,46.727,2,2,203.0,30%-<36%,45-54
8560,Ethnicity Not Available,Race Not Available,Female,1,2,1,1,275000.0,75.0,2,2,123.0,49,45-54
8561,Not Hispanic or Latino,White,Female,1,2,1,32,385000.0,80.0,2,2,127.0,43,45-54
8562,Hispanic or Latino,Race Not Available,Male,1,2,1,31,375000.0,78.84,2,2,105.0,20%-<30%,45-54
8563,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,355000.0,71.717,2,2,115.0,41,25-34
8564,Not Hispanic or Latino,White,Male,1,2,1,31,385000.0,94.581,2,2,153.0,36,55-64
8565,Not Hispanic or Latino,White,Male,1,2,1,32,255000.0,30.303,2,2,128.0,41,35-44
8566,Not Hispanic or Latino,White,Female,1,2,1,1,345000.0,97.0,2,2,72.0,39,25-34
8567,Not Hispanic or Latino,White,Female,1,2,1,31,335000.0,57.895,2,2,125.0,<20%,35-44
8568,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,195000.0,80.0,2,2,140.0,30%-<36%,45-54
8569,Not Hispanic or Latino,White,Male,1,2,1,1,475000.0,92.593,2,2,80.0,49,<25
8570,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,385000.0,90.0,2,2,166.0,<20%,25-34
8571,Not Hispanic or Latino,White,Female,1,2,1,31,215000.0,50.071,2,2,96.0,20%-<30%,45-54
8572,Not Hispanic or Latino,White,Female,1,2,1,31,595000.0,72.0,2,2,264.0,<20%,45-54
8573,Ethnicity Not Available,Race Not Available,Male,1,2,3,1,375000.0,100.0,2,2,74.0,46,25-34
8574,Not Hispanic or Latino,White,Male,1,2,1,31,915000.0,70.385,2,2,217.0,49,35-44
8575,Not Hispanic or Latino,White,Female,1,2,1,1,265000.0,90.693,2,2,76.0,40,35-44
8576,Not Hispanic or Latino,White,Male,1,2,1,31,365000.0,54.955,2,2,157.0,20%-<30%,35-44
8577,Not Hispanic or Latino,White,Female,1,2,1,31,405000.0,88.889,2,2,145.0,20%-<30%,25-34
8578,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,505000.0,37.037,1,2,271.0,50%-60%,65-74
8579,Not Hispanic or Latino,Black or African American,Male,3,2,3,31,245000.0,44.22,2,2,59.0,39,65-74
8580,Not Hispanic or Latino,Black or African American,Male,3,2,3,31,425000.0,60.29,2,2,70.0,>60%,65-74
8581,Not Hispanic or Latino,White,Female,1,2,1,32,985000.0,77.83,1,2,328.0,20%-<30%,55-64
8582,Not Hispanic or Latino,Black or African American,Female,3,2,3,32,215000.0,57.91,2,2,126.0,44,35-44
8583,Not Hispanic or Latino,Black or African American,Male,3,2,3,32,1005000.0,90.91,2,2,138.0,50%-60%,35-44
8584,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,335000.0,95.0,2,2,72.0,49,45-54
8585,Not Hispanic or Latino,White,Male,1,2,1,1,365000.0,80.0,2,2,250.0,20%-<30%,25-34
8586,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,855000.0,95.18,2,2,147.0,50%-60%,35-44
8587,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,365000.0,80.0,2,2,182.0,40,<25
8588,Not Hispanic or Latino,Black or African American,Female,1,2,3,31,485000.0,100.4,2,2,,,55-64
8589,Not Hispanic or Latino,Black or African American,Female,1,2,2,1,425000.0,98.19,2,2,72.0,49,25-34
8590,Not Hispanic or Latino,Black or African American,Male,1,2,2,31,595000.0,96.79,2,2,119.0,41,35-44
8591,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,785000.0,97.7,2,2,198.0,50%-60%,45-54
8592,Not Hispanic or Latino,White,Male,1,2,3,1,915000.0,93.63,2,2,137.0,50%-60%,35-44
8593,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,305000.0,81.2,2,2,54.0,50%-60%,55-64
8594,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,265000.0,69.33,2,2,133.0,43,55-64
8595,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,225000.0,65.18,2,2,76.0,50%-60%,45-54
8596,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,125000.0,18.46,2,2,39.0,<20%,55-64
8597,Not Hispanic or Latino,White,Male,1,2,1,31,1155000.0,74.92,1,2,418.0,37,35-44
8598,Not Hispanic or Latino,White,Male,1,2,1,31,785000.0,37.59,2,2,246.0,39,55-64
8599,Not Hispanic or Latino,Asian,Male,1,2,1,32,565000.0,55.0,2,2,129.0,30%-<36%,45-54
8600,Not Hispanic or Latino,White,Male,1,2,1,1,325000.0,85.0,2,2,185.0,20%-<30%,45-54
8601,Not Hispanic or Latino,Asian,Male,3,2,1,32,655000.0,65.0,2,2,105.0,44,25-34
8602,Not Hispanic or Latino,Asian,Male,3,2,1,1,1545000.0,80.0,2,2,736.0,30%-<36%,35-44
8603,Not Hispanic or Latino,White,Female,1,2,1,31,495000.0,71.87,2,2,186.0,30%-<36%,35-44
8604,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,265000.0,90.0,2,2,103.0,42,35-44
8605,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,125000.0,42.11,2,2,27.0,43,45-54
8606,Ethnicity Not Available,Black or African American,Male,1,2,1,32,345000.0,44.0,2,2,134.0,47,35-44
8607,Ethnicity Not Available,Race Not Available,Female,1,2,1,1,975000.0,75.0,2,2,166.0,46,45-54
8608,Not Hispanic or Latino,White,Male,1,2,1,1,1055000.0,77.78,2,2,281.0,45,65-74
8609,Not Hispanic or Latino,White,Female,3,2,1,31,175000.0,68.0,2,2,54.0,49,55-64
8610,Not Hispanic or Latino,White,Female,1,2,1,1,345000.0,80.0,2,2,183.0,20%-<30%,55-64
8611,Not Hispanic or Latino,Asian,Female,3,2,1,1,1005000.0,80.0,2,2,260.0,30%-<36%,25-34
8612,Not Hispanic or Latino,White,Male,1,2,1,31,705000.0,77.39,2,2,221.0,20%-<30%,35-44
8613,Not Hispanic or Latino,Asian,Female,1,2,1,31,455000.0,57.99,2,2,125.0,20%-<30%,35-44
8614,Not Hispanic or Latino,White,Female,1,2,1,2,45000.0,83.01,1,2,207.0,20%-<30%,55-64
8615,Not Hispanic or Latino,White,Female,1,2,1,32,365000.0,28.63,2,2,66.0,49,65-74
8616,Not Hispanic or Latino,White,Female,1,2,1,31,395000.0,77.12,2,2,128.0,20%-<30%,25-34
8617,Not Hispanic or Latino,White,Female,1,2,1,32,855000.0,66.67,2,2,182.0,43,45-54
8618,Not Hispanic or Latino,Black or African American,Female,1,2,1,1,735000.0,95.0,2,2,293.0,20%-<30%,25-34
8619,Not Hispanic or Latino,White,Male,1,2,1,1,505000.0,25.91,1,2,715.0,39,>74
8620,Not Hispanic or Latino,Race Not Available,Female,1,2,1,31,1205000.0,63.16,2,2,313.0,46,65-74
8621,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,455000.0,79.3,2,2,165.0,45,45-54
8622,Not Hispanic or Latino,White,Male,3,2,1,32,2675000.0,68.51,2,2,3000.0,<20%,65-74
8623,Not Hispanic or Latino,White,Male,3,2,1,31,915000.0,70.38,2,2,251.0,40,35-44
8624,Not Hispanic or Latino,White,Female,1,2,1,31,305000.0,54.86,2,2,290.0,30%-<36%,35-44
8625,Not Hispanic or Latino,White,Female,1,2,1,2,85000.0,58.49,1,2,152.0,38,65-74
8626,Not Hispanic or Latino,White,Male,1,2,1,4,705000.0,56.0,2,2,138.0,37,>74
8627,Not Hispanic or Latino,White,Male,1,2,1,31,635000.0,78.64,2,2,285.0,20%-<30%,35-44
8628,Hispanic or Latino,American Indian or Alaska Native,Male,3,2,1,4,35000.0,2.26,1,2,90.0,<20%,55-64
8629,Not Hispanic or Latino,Black or African American,Male,3,2,2,32,265000.0,24.34,2,2,67.0,>60%,45-54
8630,Not Hispanic or Latino,Black or African American,Male,1,2,1,2,55000.0,61.15,1,1,126.0,43,35-44
8631,Ethnicity Not Available,Asian,Male,1,2,1,2,65000.0,85.22,1,1,133.0,42,35-44
8632,Not Hispanic or Latino,White,Male,1,2,1,2,255000.0,60.99,1,1,417.0,20%-<30%,55-64
8633,Not Hispanic or Latino,White,Female,1,2,1,2,505000.0,70.13,1,1,876.0,<20%,55-64
8634,Not Hispanic or Latino,White,Male,1,2,1,1,595000.0,70.326,2,2,400.0,39,45-54
8635,Not Hispanic or Latino,White,Male,1,2,1,31,65000.0,57.05,1,1,140.0,20%-<30%,35-44
8636,Not Hispanic or Latino,White,Male,1,1,1,1,365000.0,54.887,2,2,400.0,20%-<30%,45-54
8637,Hispanic or Latino,White,Male,1,1,1,1,705000.0,89.99,2,2,322.0,20%-<30%,55-64
8638,Not Hispanic or Latino,White,Male,1,2,1,2,255000.0,31.52,1,1,248.0,39,55-64
8639,Not Hispanic or Latino,Black or African American,Male,3,2,1,4,105000.0,87.58,1,1,134.0,47,45-54
8640,Not Hispanic or Latino,White,Female,3,2,1,1,1195000.0,79.67,1,1,135.0,>60%,65-74
8641,Ethnicity Not Available,White,Male,1,2,1,2,95000.0,77.07,1,1,141.0,30%-<36%,45-54
8642,Not Hispanic or Latino,White,Female,3,2,1,31,45000.0,60.63,1,1,90.0,50%-60%,55-64
8643,Not Hispanic or Latino,White,Female,3,2,1,31,155000.0,75.76,1,1,171.0,50%-60%,35-44
8644,Not Hispanic or Latino,White,Male,1,1,1,1,525000.0,89.99,2,2,91.0,41,25-34
8645,Not Hispanic or Latino,White,Male,1,2,1,31,145000.0,68.65,1,1,503.0,30%-<36%,65-74
8646,Not Hispanic or Latino,White,Male,1,2,1,4,155000.0,28.92,1,1,400.0,<20%,55-64
8647,Not Hispanic or Latino,White,Male,1,2,1,31,2005000.0,70.98,1,1,14.0,<20%,65-74
8648,Not Hispanic or Latino,Asian,Male,1,2,1,31,165000.0,34.0,2,2,16.0,,55-64
8649,Not Hispanic or Latino,Black or African American,Female,3,2,1,2,255000.0,59.52,1,1,56.0,>60%,55-64
8650,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,155000.0,50.0,2,2,56.0,30%-<36%,55-64
8651,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,425000.0,66.83,2,2,0.0,<20%,45-54
8652,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,875000.0,100.0,2,2,298.0,38,35-44
8653,Not Hispanic or Latino,Black or African American,Female,1,2,1,2,95000.0,44.7,2,2,87.0,39,35-44
8654,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,845000.0,,2,2,,,65-74
8655,Not Hispanic or Latino,Asian,Male,1,2,2,1,435000.0,96.5,2,2,6.0,50%-60%,25-34
8656,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,175000.0,41.194,2,2,12.0,37,35-44
8657,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,125000.0,40.678,2,2,0.0,50%-60%,55-64
8658,Ethnicity Not Available,Race Not Available,Female,1,2,1,31,435000.0,67.488,2,2,16.0,20%-<30%,35-44
8659,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,235000.0,56.19,2,2,6.0,30%-<36%,35-44
8660,Ethnicity Not Available,Black or African American,Male,1,2,2,1,315000.0,96.5,2,2,8.0,38,35-44
8661,Not Hispanic or Latino,Black or African American,Male,1,2,2,32,315000.0,79.9,2,2,4.0,50%-60%,55-64
8662,Not Hispanic or Latino,Black or African American,Female,3,2,1,32,125000.0,40.678,2,2,0.0,>60%,55-64
8663,Not Hispanic or Latino,Black or African American,Male,1,2,3,31,225000.0,83.181,2,2,,,55-64
8664,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,165000.0,75.0,2,2,3.0,49,45-54
8665,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,155000.0,48.571,2,2,3.0,42,35-44
8666,Not Hispanic or Latino,Black or African American,Male,1,2,2,32,275000.0,85.0,2,2,11.0,20%-<30%,45-54
8667,Hispanic or Latino,White,Female,1,2,2,31,225000.0,29.552,2,2,,,55-64
8668,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,135000.0,55.102,2,2,8.0,30%-<36%,55-64
8669,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,565000.0,73.357,2,2,8.0,45,65-74
8670,Not Hispanic or Latino,White,Female,1,2,1,31,285000.0,79.876,2,2,8.0,30%-<36%,55-64
8671,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,265000.0,81.356,2,2,,,65-74
8672,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,205000.0,61.538,2,2,8.0,50%-60%,55-64
8673,Not Hispanic or Latino,White,Male,1,2,1,31,575000.0,85.63,2,2,13.0,40,45-54
8674,Hispanic or Latino,White,Female,3,2,2,32,455000.0,72.51,2,2,3.0,>60%,45-54
8675,Not Hispanic or Latino,Black or African American,Male,1,2,1,32,145000.0,27.451,2,2,3.0,30%-<36%,55-64
8676,Ethnicity Not Available,Race Not Available,Male,3,2,1,1,185000.0,70.0,2,2,,,25-34
8677,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,325000.0,54.667,2,2,3.0,>60%,65-74
8678,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,265000.0,85.412,2,2,,,35-44
8679,Not Hispanic or Latino,Race Not Available,Female,3,2,1,32,145000.0,21.807,2,2,2.0,44,65-74
8680,Not Hispanic or Latino,Black or African American,Female,3,2,2,32,535000.0,74.306,2,2,8.0,40,45-54
8681,Not Hispanic or Latino,Black or African American,Male,3,2,1,32,135000.0,40.825,2,2,5.0,42,45-54
8682,Not Hispanic or Latino,Black or African American,Male,1,2,1,31,265000.0,65.463,2,2,14.0,<20%,35-44
8683,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,225000.0,78.447,2,2,,,55-64
8684,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,205000.0,71.942,2,2,9.0,30%-<36%,55-64
8685,Not Hispanic or Latino,Black or African American,Male,1,2,1,1,285000.0,75.0,2,2,4.0,45,25-34
8686,Hispanic or Latino,White,Female,3,2,2,31,225000.0,29.789,2,2,,,55-64
8687,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,225000.0,43.922,2,2,,38,>74
8688,Hispanic or Latino,Black or African American,Female,1,2,1,32,475000.0,64.63,2,2,5.0,48,65-74
8689,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,2,2,31,205000.0,66.972,2,2,,,65-74
8690,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,145000.0,20.0,2,2,,,>74
8691,Not Hispanic or Latino,Black or African American,Male,3,2,2,32,395000.0,67.521,2,2,4.0,50%-60%,35-44
8692,Not Hispanic or Latino,Black or African American,Female,3,2,1,31,365000.0,60.518,2,2,8.0,38,35-44
8693,Not Hispanic or Latino,Black or African American,Female,1,2,2,32,255000.0,62.5,2,2,5.0,50%-60%,45-54
8694,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,265000.0,89.527,2,2,5.0,20%-<30%,45-54
8695,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,335000.0,75.0,2,2,7.0,41,45-54
8696,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,455000.0,72.611,2,2,,,65-74
8697,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,245000.0,72.727,2,2,7.0,20%-<30%,55-64
8698,Not Hispanic or Latino,Black or African American,Female,1,2,2,31,175000.0,36.325,2,2,4.0,42,45-54
8699,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,325000.0,57.768,2,2,4.0,49,65-74
8700,Not Hispanic or Latino,White,Male,1,2,1,32,885000.0,64.706,2,2,2041.0,<20%,35-44
8701,Not Hispanic or Latino,White,Male,1,2,1,4,815000.0,27.614,2,2,534.0,20%-<30%,55-64
8702,Ethnicity Not Available,Race Not Available,Male,1,1,1,1,325000.0,45.0,2,2,74.0,48,55-64
8703,Not Hispanic or Latino,White,Female,1,2,1,31,1235000.0,57.349,2,2,514.0,20%-<30%,55-64
8704,Not Hispanic or Latino,White,Female,1,2,1,4,255000.0,68.977,1,2,514.0,20%-<30%,55-64
8705,Not Hispanic or Latino,Asian,Male,1,2,1,31,1085000.0,51.667,1,2,258.0,39,45-54
8706,Not Hispanic or Latino,White,Male,1,1,1,1,825000.0,54.718,2,2,222.0,40,35-44
8707,Not Hispanic or Latino,Race Not Available,Male,1,1,1,1,995000.0,80.0,2,2,255.0,44,55-64
8708,Joint,White,Male,1,2,1,32,735000.0,61.551,2,2,247.0,30%-<36%,55-64
8709,Not Hispanic or Latino,White,Male,1,2,1,32,1005000.0,42.717,1,2,337.0,30%-<36%,55-64
8710,Not Hispanic or Latino,Black or African American,Male,1,2,3,32,265000.0,78.029,2,2,47.0,39,65-74
8711,Not Hispanic or Latino,Black or African American,Female,1,2,1,32,365000.0,63.684,2,2,66.0,38,55-64
8712,Not Hispanic or Latino,Asian,Female,1,2,1,32,335000.0,77.586,2,2,78.0,40,35-44
8713,Not Hispanic or Latino,Black or African American,Male,1,1,1,1,375000.0,80.0,2,2,84.0,48,25-34
8714,Ethnicity Not Available,Race Not Available,Male,1,2,1,31,1005000.0,52.632,1,2,0.0,,55-64
8715,Hispanic or Latino,White,Male,1,2,1,1,355000.0,80.05,2,2,93.0,30%-<36%,25-34
8716,Not Hispanic or Latino,White,Male,1,2,1,1,385000.0,95.0,2,2,114.0,20%-<30%,25-34
8717,Not Hispanic or Latino,White,Male,1,2,1,1,445000.0,80.0,2,2,84.0,49,25-34
8718,Not Hispanic or Latino,White,Male,1,2,1,1,535000.0,95.0,2,2,118.0,30%-<36%,35-44
8719,Not Hispanic or Latino,Asian,Male,1,2,1,1,575000.0,70.0,2,2,221.0,<20%,45-54
8720,Not Hispanic or Latino,Asian,Female,1,2,1,31,535000.0,81.563,2,2,280.0,30%-<36%,35-44
8721,Not Hispanic or Latino,White,Male,1,2,1,1,455000.0,80.0,2,2,94.0,30%-<36%,25-34
8722,Not Hispanic or Latino,White,Female,1,2,3,1,245000.0,100.0,2,2,93.0,20%-<30%,<25
8723,Not Hispanic or Latino,White,Female,1,2,1,1,355000.0,90.0,2,2,84.0,30%-<36%,35-44
8724,Ethnicity Not Available,White,Female,1,2,1,31,275000.0,97.0,2,2,65.0,30%-<36%,25-34
8725,Not Hispanic or Latino,White,Female,1,2,1,1,265000.0,60.0,2,2,72.0,41,35-44
8726,Not Hispanic or Latino,White,Female,1,2,1,1,615000.0,85.0,2,2,106.0,42,25-34
8727,Ethnicity Not Available,White,Male,1,2,1,1,455000.0,80.0,2,2,88.0,47,25-34
8728,Not Hispanic or Latino,White,Male,1,2,1,1,705000.0,85.0,2,2,130.0,44,35-44
8729,Not Hispanic or Latino,Black or African American,Female,1,2,1,31,305000.0,70.058,2,2,110.0,40,35-44
8730,Not Hispanic or Latino,White,Male,1,2,1,1,345000.0,75.0,2,2,119.0,20%-<30%,45-54
8731,Ethnicity Not Available,Race Not Available,Male,1,2,3,1,425000.0,95.0,2,2,122.0,50%-60%,25-34
8732,Ethnicity Not Available,Race Not Available,Male,1,2,1,1,385000.0,90.0,2,2,93.0,30%-<36%,45-54
8733,Not Hispanic or Latino,White,Male,1,2,3,31,285000.0,,2,2,,,35-44
8734,Not Hispanic or Latino,White,Male,1,2,1,1,265000.0,52.505,2,2,43.0,48,25-34
